year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths
2025,14,2025-04-05,05-04-2025,Assam,Biswanath,Food Poisoning,Reported,18,0
2025,14,2025-04-03,04-04-2025,Bihar,Aurangabad,Fever With Rash,Reported,21,0
2025,14,2025-03-31,04-04-2025,Bihar,Madhubani,Chickenpox,Reported,14,0
2025,14,2025-04-03,04-04-2025,Gujarat,Bhavnagar,Food Poisoning,Reported,20,0
2025,14,2025-04-01,01-04-2025,Gujarat,Vadodara,Acute Diarrheal Disease,Reported,20,0
2025,14,2025-03-31,31-03-2025,Haryana,Yamunanagar,Food Poisoning,Reported,104,0
2025,14,2025-04-05,05-04-2025,Jharkhand,East Singhbum,Chickenpox,Reported,8,0
2025,14,2025-04-03,03-04-2025,Jharkhand,Giridih,Chickenpox,Reported,13,0
2025,14,2025-04-04,04-04-2025,Karnataka,Chikballapur,Hepatitis A,Reported,8,0
2025,14,2025-03-31,04-04-2025,Kerala,Kottayam,Food Poisoning,Reported,22,0
2025,14,2025-04-04,05-04-2025,Kerala,Palakkad,Leishmaniasis,Reported,1,0
2025,14,2025-04-03,03-04-2025,Kerala,Palakkad,Hepatitis A,Reported,27,0
2025,14,2025-04-04,04-04-2025,Kerala,Pathanamthitta,Food Poisoning,Reported,43,0
2025,14,2025-03-30,02-04-2025,Kerala,Thrissur,Acute Diarrheal Disease,Reported,78,0
2025,14,2025-04-01,01-04-2025,Madhya Pradesh,Rewa,Acute Diarrheal Disease,Reported,19,0
2025,14,2025-04-04,04-04-2025,Meghalaya,North Garo Hills,Measles,Reported,12,0
2025,14,2025-03-30,31-03-2025,Meghalaya,West Jaintia Hills,Food Poisoning,Reported,32,0
2025,14,2025-04-04,04-04-2025,Odisha,Anugul,Acute Diarrheal Disease,Reported,81,0
2025,14,2025-04-03,04-04-2025,Odisha,Bhadrak,Hepatitis A,Reported,5,0
2025,14,2025-04-03,04-04-2025,Odisha,Mayurbhanj,Food Poisoning,Reported,66,0
2025,14,2025-04-04,05-04-2025,Odisha,Sambalpur,Acute Diarrheal Disease,Reported,24,0
2025,14,2025-04-03,03-04-2025,Puducherry,Pondicherry,Typhoid,Reported,20,0
2025,14,2025-04-04,05-04-2025,Tamil Nadu,Erode,Mumps,Reported,5,0
2025,14,2025-04-02,03-04-2025,Tamil Nadu,Kallakurichi,Hepatitis A,Reported,24,0
2025,14,2025-04-02,02-04-2025,Tamil Nadu,Kallakurichi,Chickenpox,Reported,11,0
